Nov 29 00:40:42|5[info]29/11/2014 00:40:42 - [UTENTE = ][REMOTE IP = 79.30.194.18][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 00:40:47|5[info]29/11/2014 00:40:47 - [UTENTE = ][REMOTE IP = 79.30.194.18][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 00:40:47|5[info]29/11/2014 00:40:47 - [UTENTE = ][REMOTE IP = 79.30.194.18][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 00:40:57|5[info]29/11/2014 00:40:57 - [UTENTE = paolo][REMOTE IP = 79.30.194.18][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 00:41:04|5[info]29/11/2014 00:41:04 - [UTENTE = paolo][REMOTE IP = 79.30.194.18][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 00:41:07|5[info]29/11/2014 00:41:07 - [UTENTE = paolo][REMOTE IP = 79.30.194.18][act = CaricaMagazzino][id_content = 23][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 00:41:14|5[info]29/11/2014 00:41:14 - [UTENTE = paolo][REMOTE IP = 79.30.194.18][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 00:41:30|5[info]29/11/2014 00:41:30 - [UTENTE = ][REMOTE IP = 79.30.194.18][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 10:03:31|5[info]29/11/2014 10:03:31 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 10:03:37|5[info]29/11/2014 10:03:37 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 10:03:42|5[info]29/11/2014 10:03:42 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Nov 29 10:04:00|5[info]29/11/2014 10:04:00 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaFornitori][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
