gen 01 01:20:47|5[info]01/01/2015 01:20:47 - [UTENTE = ][REMOTE IP = 79.20.197.195][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:20:49|5[info]01/01/2015 01:20:49 - [UTENTE = ][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:20:51|5[info]01/01/2015 01:20:51 - [UTENTE = ][REMOTE IP = 79.20.197.195][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:20:56|5[info]01/01/2015 01:20:56 - [UTENTE = ][REMOTE IP = 79.20.197.195][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:21:02|5[info]01/01/2015 01:21:02 - [UTENTE = ][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:26:08|5[info]01/01/2015 01:26:08 - [UTENTE = ][REMOTE IP = 79.20.197.195][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:27:15|5[info]01/01/2015 01:27:15 - [UTENTE = ][REMOTE IP = 79.20.197.195][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:27:25|5[info]01/01/2015 01:27:25 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:27:30|5[info]01/01/2015 01:27:30 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:27:38|5[info]01/01/2015 01:27:38 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:27:45|5[info]01/01/2015 01:27:45 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:27:47|5[info]01/01/2015 01:27:47 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:27:52|5[info]01/01/2015 01:27:52 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 16][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:27:57|5[info]01/01/2015 01:27:57 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:28:38|5[info]01/01/2015 01:28:38 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 16][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:28:43|5[info]01/01/2015 01:28:43 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:29:02|5[info]01/01/2015 01:29:02 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 16][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 01:29:06|5[info]01/01/2015 01:29:06 - [UTENTE = adtonol][REMOTE IP = 79.20.197.195][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
