dic 12 00:25:37|5[info]12/12/2014 00:25:37 - [UTENTE = ][REMOTE IP = 94.138.214.189][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows; U; Windows NT 5.1; it; rv:1.8.1.11) Gecko/20071127 Firefox/2.0.0.11]
dic 12 00:37:07|5[info]12/12/2014 00:37:07 - [UTENTE = ][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 00:37:09|5[info]12/12/2014 00:37:09 - [UTENTE = ][REMOTE IP = 79.7.71.152][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 04:44:40|5[info]12/12/2014 04:44:40 - [UTENTE = ][REMOTE IP = 66.249.64.127][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 07:53:02|5[info]12/12/2014 07:53:02 - [UTENTE = ][REMOTE IP = 66.249.64.119][act = Search][gm = 37][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 08:14:34|5[info]12/12/2014 08:14:34 - [UTENTE = ][REMOTE IP = 66.249.64.127][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 08:25:55|5[info]12/12/2014 08:25:55 - [UTENTE = ][REMOTE IP = 207.46.13.141][act = Search][_gm = 9][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
dic 12 08:25:56|5[info]12/12/2014 08:25:56 - [UTENTE = ][REMOTE IP = 207.46.13.141][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
dic 12 08:25:56|5[info]12/12/2014 08:25:56 - [UTENTE = ][REMOTE IP = 207.46.13.141][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
dic 12 08:25:56|5[info]12/12/2014 08:25:56 - [UTENTE = ][REMOTE IP = 207.46.13.141][act = Contatti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
dic 12 08:26:00|5[info]12/12/2014 08:26:00 - [UTENTE = ][REMOTE IP = 157.55.39.166][act = Search][_gm = 8][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
dic 12 08:26:04|5[info]12/12/2014 08:26:04 - [UTENTE = ][REMOTE IP = 157.55.39.120][act = Search][_gm = 6][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
dic 12 08:29:23|5[info]12/12/2014 08:29:23 - [UTENTE = ][REMOTE IP = 207.46.13.86][act = Search][_gm = 7][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
dic 12 09:34:26|5[info]12/12/2014 09:34:26 - [UTENTE = ][REMOTE IP = 66.249.64.24][act = ControllerError][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 09:35:07|5[info]12/12/2014 09:35:07 - [UTENTE = ][REMOTE IP = 66.249.64.20][act = Search][gm = 17][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 09:35:24|5[info]12/12/2014 09:35:24 - [UTENTE = ][REMOTE IP = 66.249.64.24][act = Search][gm = 43][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 09:35:33|5[info]12/12/2014 09:35:33 - [UTENTE = ][REMOTE IP = 66.249.64.20][act = Search][gm = 35][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 09:36:25|5[info]12/12/2014 09:36:25 - [UTENTE = ][REMOTE IP = 66.249.64.24][act = Search][gm = 31][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 09:36:51|5[info]12/12/2014 09:36:51 - [UTENTE = ][REMOTE IP = 66.249.64.28][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 09:37:00|5[info]12/12/2014 09:37:00 - [UTENTE = ][REMOTE IP = 66.249.64.24][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 09:37:08|5[info]12/12/2014 09:37:08 - [UTENTE = ][REMOTE IP = 66.249.64.24][act = Search][gm = 32][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 09:37:17|5[info]12/12/2014 09:37:17 - [UTENTE = ][REMOTE IP = 66.249.64.28][act = Search][gm = 15][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 09:37:26|5[info]12/12/2014 09:37:26 - [UTENTE = ][REMOTE IP = 66.249.64.24][act = Search][gm = 42][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 10:33:17|5[info]12/12/2014 10:33:17 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 10:33:20|5[info]12/12/2014 10:33:20 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 10:38:48|5[info]12/12/2014 10:38:48 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 10:38:50|5[info]12/12/2014 10:38:50 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 10:39:13|5[info]12/12/2014 10:39:13 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 10:39:18|5[info]12/12/2014 10:39:18 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 12:27:33|5[info]12/12/2014 12:27:33 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 12:27:36|5[info]12/12/2014 12:27:36 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 12:27:37|5[info]12/12/2014 12:27:37 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 13:40:25|5[info]12/12/2014 13:40:25 - [UTENTE = ][REMOTE IP = 207.46.13.141][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
dic 12 15:15:55|5[info]12/12/2014 15:15:55 - [UTENTE = ][REMOTE IP = 93.92.217.228][REQUEST METHOD = GET][USER AGENT = Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)]
dic 12 15:30:23|5[info]12/12/2014 15:30:23 - [UTENTE = ][REMOTE IP = 66.249.79.155][act = Search][gm = 17][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 15:42:16|5[info]12/12/2014 15:42:16 - [UTENTE = ][REMOTE IP = 64.246.165.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows; U; Windows NT 5.1; en; rv:1.9.0.13) Gecko/2009073022 Firefox/3.5.2 (.NET CLR 3.5.30729) SurveyBot/2.3 (DomainTools)]
