gen 24 00:28:12|5[info]24/01/2015 00:28:12 - [UTENTE = ][REMOTE IP = 79.10.194.248][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 24 00:28:18|5[info]24/01/2015 00:28:18 - [UTENTE = ][REMOTE IP = 79.10.194.248][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 24 00:28:18|5[info]24/01/2015 00:28:18 - [UTENTE = ][REMOTE IP = 79.10.194.248][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 24 00:28:20|5[info]24/01/2015 00:28:20 - [UTENTE = ][REMOTE IP = 79.10.194.248][act = ProductInfo][id_giacenza = 28][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 24 00:28:24|5[info]24/01/2015 00:28:24 - [UTENTE = ][REMOTE IP = 79.10.194.248][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 24 00:28:26|5[info]24/01/2015 00:28:26 - [UTENTE = ][REMOTE IP = 79.10.194.248][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 24 00:28:28|5[info]24/01/2015 00:28:28 - [UTENTE = ][REMOTE IP = 79.10.194.248][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 24 00:28:30|5[info]24/01/2015 00:28:30 - [UTENTE = ][REMOTE IP = 79.10.194.248][act = Search][gm = 16][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 24 00:33:26|5[info]24/01/2015 00:33:26 - [UTENTE = ][REMOTE IP = 5.90.13.77][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4]
gen 24 00:33:47|5[info]24/01/2015 00:33:47 - [UTENTE = ][REMOTE IP = 5.90.13.77][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4]
gen 24 00:38:16|5[info]24/01/2015 00:38:16 - [UTENTE = ][REMOTE IP = 66.249.78.26][act = Search][gm = 35][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 00:39:43|5[info]24/01/2015 00:39:43 - [UTENTE = ][REMOTE IP = 82.145.223.40][act = ProductInfo][id_giacenza = 22][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) OPiOS/9.1.0.86723 Mobile/12B440 Safari/9537.53]
gen 24 00:39:48|5[info]24/01/2015 00:39:48 - [UTENTE = ][REMOTE IP = 82.145.223.40][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) OPiOS/9.1.0.86723 Mobile/12B440 Safari/9537.53]
gen 24 00:40:56|5[info]24/01/2015 00:40:56 - [UTENTE = ][REMOTE IP = 66.249.78.26][act = Search][gm = 15][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
